State,Year,LawName,Switching,Assaults_-16,Assaults_-15,Assaults_-14,Assaults_-13,Assaults_-12,Assaults_-11,Assaults_-10,Assaults_-9,Assaults_-8,Assaults_-7,Assaults_-6,Assaults_-5,Assaults_-4,Assaults_-3,Assaults_-2,Assaults_-1,Assaults_0,Assaults_1,Assaults_2,Assaults_3,Assaults_4,Assaults_5,Assaults_6,Assaults_7,Assaults_8,Assaults_9,Assaults_10,Assaults_11,Assaults_12,Assaults_13,Assaults_14,Assaults_15,Assaults_16
CA,2000,magazine,implemented,,,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633
CA,2000,onefeature,implemented,,,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633
CA,2000,tenroundlimit,implemented,,,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633
CA,2001,junkgun,implemented,,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633,
CA,2002,immunity,implemented,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633,,
CA,2002,lockd,implemented,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633,,
CA,2002,lockp,implemented,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633,,
CA,2002,lockstandards,implemented,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633,,
CA,2002,mcdvsurrender,implemented,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633,,
CA,2002,mcdvsurrenderdating,implemented,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633,,
CA,2002,mcdvsurrendernoconditions,implemented,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633,,
CA,2011,ammrecords,implemented,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633,,,,,,,,,,,
CA,2012,fingerprint,implemented,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633,,,,,,,,,,,,
CA,2013,capaccess,implemented,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633,,,,,,,,,,,,,
CA,2013,capliability,implemented,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633,,,,,,,,,,,,,
CA,2013,dvroremoval,implemented,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633,,,,,,,,,,,,,
CA,2013,microstamp,implemented,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633,,,,,,,,,,,,,
CA,2014,defactoreg,implemented,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633,,,,,,,,,,,,,,
